;03.543.447/0001-03;07.861.554/0001-22;08.070.841/0001-87;08.246.318/0001-69;08.266.261/0001-60;09.635.172/0001-06;10.740.670/0001-06;11.061.217/0001-28;11.182.064/0001-77;11.328.882/0001-35;11.392.165/0001-72;11.458.144/0001-02;14.386.926/0001-71;14.508.605/0001-00;14.550.994/0001-24;15.486.093/0001-83;17.138.474/0001-05;20.139.595/0001-78;21.838.150/0001-49;23.215.097/0001-55;24.571.992/0001-75;25.078.994/0001-90;28.206.220/0001-95;29.258.294/0001-38;34.791.108/0001-61;35.002.482/0001-01;35.292.588/0001-89;37.308.394/0001-50;38.001.966/0001-16;40.190.534/0001-42;42.813.674/0001-55;46.134.096/0001-81;63.375.216/0001-51
2022-12-19;23,319209533;5,935688471;3,828353;4,8199482;4,647212;2,6085906;2,984264;3,228062;3,524517;3,110120475;5,5297087;14,0658057;2,703745;2,463165;1,5642207;2,862534884;29,1748705;1,58895769;20,177967;1,662994;20,648304;nan;1,326433;1,395670987;0,8554707;103,8256287;1,156383531;1,1127498;0,7134232;0,9678521;1,0056773;0,993481968;135,18855
2022-12-20;23,400580979;5,962594187;3,85205;4,8347733;4,669142;2,6582522;2,98602;3,238279;3,5893233;3,111977653;5,6205865;14,3409375;2,714651;2,475337;1,5954283;2,863728194;29,1907192;1,59284599;20,207483;1,665274;21,195388;nan;1,327175;1,423741334;0,8685224;103,9945426;1,16007458;1,0847688;0,6901321;0,9585304;1,0120165;1,000291655;137,636925
2022-12-21;23,406614274;5,959886348;3,863258;4,8372919;4,667354;2,6678926;2,98764;3,240057;3,594684;3,1136447;5,634408;14,4030408;2,714971;2,479436;1,6035661;2,866319329;29,2062872;1,5938009;20,215576;1,666493;21,292751;nan;1,327915;1,42994529;0,8706515;105,1979776;1,160732454;1,0936814;0,6915154;0,9634519;1,01388;0,999810243;138,510966
2022-12-22;23,421887329;5,977800029;3,867348;4,8459564;4,681116;2,6723903;2,989317;3,24594;3,6146582;3,115393765;5,651903;14,4091272;2,717027;2,485064;1,6022576;2,867382793;29,2221807;1,59442336;20,226378;1,667951;21,257308;nan;1,328607;1,433343844;0,8733523;103,528251;1,162822611;1,0902519;0,6984986;0,9514053;1,0147627;1,001324013;138,961058
2022-12-23;23,462194676;6,007031331;3,88204;4,8578146;4,702755;2,71898;2,990914;3,254129;3,6656407;3,117024005;5,7387989;14,7039788;2,723024;2,491604;1,6327567;2,865308571;29,2387199;1,59642003;20,2441;1,66952;21,766954;nan;1,329368;1,460610796;0,8867442;103,7495028;1,165729502;1,082859;0,6840863;0,9526797;1,0219555;1,004795991;141,070153
2022-12-26;23,465974567;6,009060217;3,876633;4,8583364;4,703764;2,6879817;2,992312;3,254564;3,6293326;3,118334338;5,6733124;14,5589334;2,723097;2,490029;1,6201164;2,866494475;29,2534188;1,59623716;20,252193;1,669926;21,51864;nan;1,330182;1,450478167;0,8766423;103,7451878;1,165845292;1,090567;0,688804;0,9472547;1,0192149;1,005004993;139,417541
2022-12-27;23,468775924;6,015976504;3,877608;4,8613735;4,708962;2,6737345;2,993854;3,256774;3,6133407;3,119999101;5,6166309;14,5104895;2,723034;2,491002;1,6123772;2,867172039;29,2692694;1,5960908;20,259579;1,670724;21,545211;nan;1,330903;1,448275305;0,8679081;103,7408433;1,166609672;1,111287;0,6982331;0,9757686;1,0190079;1,005529734;139,255623
2022-12-28;23,546637486;6,055330873;3,896448;4,8769969;4,738849;2,712682;2,995531;3,26759;3,6774992;3,121921087;5,6901179;14,7414534;2,731953;2,499938;1,6439728;2,874639947;29,2855992;1,60099187;20,289576;1,672607;21,870752;nan;1,331665;1,469070776;0,8792348;102,3689107;1,170446141;1,1061669;0,6943785;0,9636236;1,0247292;1,010015814;141,47505
2022-12-29;23,56454908;6,059739454;3,900412;4,8809318;4,741817;2,7044205;2,997088;3,270291;3,6737446;3,123653766;5,6904541;14,6725959;2,734562;2,503456;1,6375529;2,875866061;29,301393;1,60335699;20,308365;1,673751;21,736795;nan;1,332392;1,461099257;0,8792877;105,1502271;1,171407911;1,1127294;0,6867074;0,977564;1,0230404;1,009843114;141,084624
2022-12-30;23,574681902;6,062348687;3,901977;4,8831982;4,743841;2,7043141;2,998608;3,271774;3,6734803;3,125212858;5,6911445;14,6723437;2,73574;2,504672;1,63742;2,877069767;29,3172797;1,6040595;20,317785;1,674571;21,73558;nan;1,333111;1,461206786;0,8793256;104,7573778;1,171953325;1,1128071;0,7001715;0,9774342;1,0234601;1,010270354;141,078158
